ad_title,brand_name,cost,ctr,id,like,video_name,is_ugc,duration,height,width,industry_parent,industry_child,objective_value,creative_theme,creative_concept,format_production_style,talent_type,demographic_representation,audience_focus,campaign_objective
It's easy to earn big with DoorDash,DoorDash,2,0.2,7078354626059386881,48664,ad_24000000000_2_9_1,TRUE,9.75,1024,576,Business Services,Recruitment & Job Searching,App Installs,Promotional & Offer-Based,None,Native Video,Actors,Primarily Young Adults,Problem Aware,App Promotion
"Do it all, as a Dasher",DoorDash,2,0.22,7057648589409812482,52774,ad_24000000000_2_10_1,TRUE,13.76,1024,576,Business Services,Recruitment & Job Searching,App Installs,Promotional & Offer-Based,None,Native Video,Actors,Primarily Young Adults,Problem Aware,App Promotion
Easy sign up process.  No car needed,DoorDash,2,0.23,6985183241340207105,148350,ad_24000000000_2_11_1,TRUE,17.536,1024,576,Business Services,Recruitment & Job Searching,App Installs,Lifestyle & Aspirational,Day-in-the-life story,Native Video,Unclear,Unclear,Problem Aware,App Promotion
Be your own boss,DoorDash,2,0.24,7122200792887656450,270950,ad_24000000000_2_12_1,TRUE,16.406,1024,576,Business Services,Recruitment & Job Searching,App Installs,Promotional & Offer-Based,Day-in-the-life story,Native Video,Actors,Primarily Young Adults,Solution Aware,App Promotion
Looking for hacks to organize your small business? Check out QuickBooks Online.,Intuit Quickbooks,2,0.26,7024129678319353858,10821,ad_24000000000_2_13_1,TRUE,14.604,1024,576,Business Services,Office Equipment & Supplies,App Installs,Testimonial & Social Proof,Expert review,Native Video,Influencers,Diverse Ethnic Representation,Problem Aware,Awareness
Save 50% off your first 3 months of QuickBooks Online,QuickBooks,2,0.27,7020949802981310465,132588,ad_24000000000_2_14_1,TRUE,9.08,1024,576,Business Services,Office Equipment & Supplies,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Problem Aware,Awareness
Explore with Viator,Viator: Tours & Activities,2,0.13,7184799763350306818,3886,ad_17000000000_2_0_1,TRUE,28.246,1024,576,Travel,Tours & Attractions,App Installs,Testimonial & Social Proof,Day-in-the-life story,Native Video,Customers,Primarily Young Adults,Problem Aware,App Promotion
Harder than you think!,Fashion Famous,1,0.02,7192975236962582530,5874,ad_22000000000_2_0_1,FALSE,30.016,1024,576,Apparel & Accessories,Women's Clothing,App Installs,Not Applicable,None,Native Video,None,No People Featured,Unclear,Unclear
Play now or Cry later,Fashion Famous,1,0.02,7192975240234106882,6377,ad_22000000000_2_1_1,FALSE,30.016,1024,576,Apparel & Accessories,Women's Clothing,App Installs,Not Applicable,None,Native Video,None,No People Featured,Unclear,Unclear
Try on these stylish frames from @ZEELOOL with me! Which pair is your fav??👓 #onemorepair,,2,0.08,7025541800258502658,220488,ad_22000000000_2_2_1,TRUE,17.854,1030,576,Apparel & Accessories,Clothing Accessories,App Installs,Product-Centric,Product demo,Native Video,Actors,Primarily Female,Product Aware,Sales
Everyone loves these HALARA magical outfits.,,2,0.11,7225151309451116545,4257,ad_22000000000_2_3_1,TRUE,20.054,1280,720,Apparel & Accessories,Women's Clothing,App Installs,Product-Centric,Product demo,Native Video,Actors,Primarily Female,Solution Aware,Sales
Everyone loves these HALARA magical tops.,halara_official,1,0.16,7190212654567538689,2332,ad_22000000000_2_4_1,TRUE,20.95,1024,576,Apparel & Accessories,Women's Clothing,App Installs,Product-Centric,Product demo,Native Video,Combination of actors and customers,Diverse Age Range,Problem Aware,Sales
Start paying off high-interest cards. Transfer balance today. Instant approvals! Get debt-free fast!,Bright - Pay Off Debt Smarter,2,0.07,7172106827496128514,1785,ad_13000000000_2_0_1,FALSE,10.049,1024,576,Financial Services,Credit Bureaus,App Installs,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Problem Aware,App Promotion
best day ever 🫶🏻🫶🏻 #creditcarddebt #financialliteracy #moneytips #debt,,2,0.09,7216789908089749505,52433,ad_13000000000_2_1_1,TRUE,6.476,1024,576,Financial Services,Other Financial Services,App Installs,Testimonial & Social Proof,User-generated content (UGC),Native Video,Customers,Primarily Young Adults,Problem Aware,Awareness
40% OFF Sale Ends Midnight!,,1,0.01,7183320996466835458,2189,ad_15000000000_3_0_1,TRUE,46.465,1024,576,Tech & Electronics,Cell Phones,Conversions,Product-Centric,Product demo,Native Video,Experts,Primarily Male,Problem Aware,Sales
,,2,0.01,7290562260454998017,60017,ad_15000000000_3_1_1,TRUE,43.351,1024,576,Tech & Electronics,Cell Phones,Conversions,Product-Centric,Product demo,Native Video,Unclear,Unclear,Solution Aware,Sales
and this pink😩 #phonecharger #hightech #longphonecharger #pinkphonecharger #tiktokshopholidayhaul #tiktokshopcybermonday #giftsforher,,2,0.01,7447061387179245586,93193,ad_15000000000_3_2_1,TRUE,41.4,1024,576,Tech & Electronics,Cell Phones,Conversions,Product-Centric,Product demo,Native Video,Influencers,Primarily Young Adults,Problem Aware,Sales
"We do custom computers. Ours are designed around how you want them to look and perform. Every PC is handmade and planned out by us. If you're in the market for a computer, give us a shot. Our money-back guarantee means you have nothing to lose, and everything to gain. #bottomlinethermalspcs",,2,0.01,7110833444889182210,10581,ad_15000000000_3_3_1,TRUE,14.281,1024,576,Tech & Electronics,Computers Components,Conversions,Product-Centric,Comparison,Native Video,None,No People Featured,Product Aware,Sales
FREE PHONE : FREE PHONE : FREE PHONE : FREE PHONE,Sexy Phone Deals!,2,0.01,7273329328715628545,2464,ad_15000000000_3_4_1,TRUE,39.219,1024,576,Tech & Electronics,Cell Phones,Conversions,Product-Centric,Product demo,Native Video,None,No People Featured,Unclear,Awareness
Dive into a world of sound and color with our World of Color Earbuds!,World of Color,2,0.01,7340402844182544385,4654,ad_15000000000_3_5_1,TRUE,34.645,576,576,Tech & Electronics,Cell Phones,Conversions,Product-Centric,Product demo,Native Video,None,No People Featured,Unclear,Sales
Shocking Prices on Unsold Phones After Xmas!,SmartThinkerPhones,2,0.01,7176549974124806146,37777,ad_15000000000_3_6_1,TRUE,15.072,1024,576,Tech & Electronics,Cell Phones,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,Unclear,Solution Aware,Sales
You won't believe the prices,Sales and Discounts Gaming Chairs,2,0.01,7238968322577317889,24941,ad_15000000000_3_7_1,TRUE,13.2,1024,576,Tech & Electronics,Gaming Devices,Conversions,Humor & Entertainment,Day-in-the-life story,Native Video,None,Primarily Young Adults,Product Aware,Engagement
Buy 1 get 1 free - The only affordable smart glasses on the market,visor.store,1,0.01,7321160621847543809,13312,ad_15000000000_3_8_1,TRUE,15.334,1024,576,Tech & Electronics,Cell Phones,Conversions,Product-Centric,Product demo,Native Video,None,Primarily Male,Problem Aware,Sales
You won't believe the prices,Sales and Discounts Gaming Chairs,2,0.01,7240351373329678338,10771,ad_15000000000_3_9_1,TRUE,13.84,1024,576,Tech & Electronics,Gaming Devices,Conversions,Product-Centric,Product demo,Native Video,Customers,Primarily Female,Problem Aware,Sales
Swipe left and get yourself a new cell phone today!,Cell Phone Deals,2,0.01,7236057462533799938,1955,ad_15000000000_3_10_1,TRUE,10.032,960,540,Tech & Electronics,Cell Phones,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Unclear,Unclear,Problem Aware,Sales
Trends Brasil,Trends Brasil,2,0.01,7304502078398267394,1966,ad_15000000000_3_11_1,TRUE,14.559,1024,576,Tech & Electronics,Computer Accessories,Conversions,Educational & Explainer,Product demo,Native Video,None,No People Featured,Problem Aware,App Promotion
"Think you need a new phone? Think again! We just restocked 14+ phones that are reusable, so now you can save some money and reduce your tech waste! Shop now for only $699!",,2,0.01,7202659160755748866,56203,ad_15000000000_3_12_1,TRUE,19.665,1024,576,Tech & Electronics,Cell Phones,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Unclear,Unclear,Product Aware,Sales
Low cost for your Laptops,Cheap Laptops,2,0.01,7243103152643588097,30648,ad_15000000000_3_13_1,TRUE,16.346,1280,720,Tech & Electronics,Computers,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,Unclear,Product Aware,Sales
"High-speed Internet access anytime, anywhere.",Mobile Wifi,1,0.01,7195774359784374273,1821,ad_15000000000_3_14_1,TRUE,11.034,1024,576,Tech & Electronics,Network Products,Conversions,Product-Centric,Product demo,Native Video,None,No People Featured,Unclear,Awareness
Dress your phone case right now.,Elledora2025,2,0.01,7269858166556311554,5946,ad_15000000000_3_15_1,TRUE,16.022,1280,720,Tech & Electronics,Cell Phones,Conversions,Product-Centric,Product demo,Native Video,Unclear,Unclear,Product Aware,Sales
New mobile phones at low prices,Cell Phones,2,0.01,7170297408114622465,182245,ad_15000000000_3_16_1,TRUE,10.124,960,540,Tech & Electronics,Cell Phones,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Solution Aware,Sales
Checkout our new lots of Walmart Apple Returns🎉 Get apple returns for up to 78% off retail for use or retail🥳🎊,,2,0.01,7266445990985662465,4703,ad_15000000000_3_17_1,TRUE,23.134,1024,576,Tech & Electronics,Cell Phones,Conversions,Product-Centric,Unboxing,Native Video,Customers,Primarily Young Adults,Product Aware,Sales
Unsold Cell Phones Deals,Unsold Cell Phones,2,0.01,7176529246583406594,480556,ad_15000000000_3_18_1,TRUE,13.446,1024,576,Tech & Electronics,Cell Phones,Conversions,Promotional & Offer-Based,Flash sale,Native Video,None,No People Featured,Product Aware,Sales
Cop pulls single mom over and finds this:,Constative,1,0.01,7176319877287952385,1981,ad_23000000000_3_0_1,FALSE,12.632,1024,576,News & Entertainment,Lifestyle News,Conversions,Brand Story & Mission-Driven,None,Native Video,Unclear,Unclear,Unaware Audience,Awareness
Swipe left and see more!,Celebs News,2,0.01,7277194255231041538,4998,ad_23000000000_3_1_1,FALSE,5.634,1024,576,News & Entertainment,Humor,Conversions,Humor & Entertainment,None,Native Video,Unclear,Unclear,Unclear,Engagement
25+ Celebrities Who Now Work a Regular 9-5 Job,InvestingMagazine,2,0.01,7267459262162665474,17095,ad_23000000000_3_2_1,FALSE,11.448,1280,720,News & Entertainment,Celebrities & Gossip,Conversions,Not Applicable,None,Static Image,Actors,Primarily Female,Unclear,Unclear
Click To See More.,Celebs News,2,0.01,7326856420392927233,28215,ad_23000000000_3_3_1,FALSE,7.686,1280,720,News & Entertainment,Celebrities & Gossip,Conversions,Trend-Based & Reactive,Before-and-after story,Native Video,None,Primarily Female,Unclear,Engagement
Swipe Left To See More.,Celebs News,2,0.01,7326856435667648513,5352,ad_23000000000_3_4_1,FALSE,7.686,1280,720,News & Entertainment,Celebrities & Gossip,Conversions,Trend-Based & Reactive,Before-and-after story,Native Video,None,Primarily Female,Product Aware,Engagement
Click To See More.,Celebs News,1,0.01,7327200880256040961,2171,ad_23000000000_3_5_1,FALSE,7.884,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Brand Story & Mission-Driven,None,Native Video,None,Primarily Black/African American,Unclear,Engagement
Swipe Left To See More.,SportStelly,2,0.01,7296475643370110978,3476,ad_23000000000_3_6_1,FALSE,8.29,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Trend-Based & Reactive,None,Static Image,None,Primarily Female,Unclear,Engagement
Swipe left and see more!,Celebs News,2,0.01,7283066982253232129,2819,ad_23000000000_3_7_1,FALSE,6.734,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Brand Story & Mission-Driven,None,Native Video,Unclear,Primarily Female,Unclear,Awareness
Swipe Left To See More.,Celebs News,2,0.01,7308692136522121218,6154,ad_23000000000_3_8_1,FALSE,8.522,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Testimonial & Social Proof,Before-and-after story,Static Image,Unclear,Primarily Female,Unclear,Engagement
Swipe Left To See More!,Fun Facts For Days,2,0.01,7411097896928968705,7437,ad_23000000000_3_9_1,FALSE,8.834,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Trend-Based & Reactive,Before-and-after story,Static Image,None,Primarily Female,Unclear,Engagement
Swipe Left To See More.,Celebs News,2,0.01,7312052734161125377,3056,ad_23000000000_3_10_1,FALSE,8.104,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Lifestyle & Aspirational,Before-and-after story,Native Video,Influencers,Primarily Female,Unclear,Engagement
25+ Celebrities Who Now Work a Regular 9-5 Job,InvestingMagazine,2,0.01,7267459278498824193,19191,ad_23000000000_3_11_1,FALSE,11.448,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Not Applicable,None,Static Image,Unclear,Unclear,Unclear,Unclear
Swipe left and see more!,Celebs News,2,0.01,7277191789168754690,3661,ad_23000000000_3_12_1,FALSE,5.48,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Lifestyle & Aspirational,None,Static Image,Actors,Primarily Female,Unclear,Awareness
Here's What Celebrities Do After Fame,InvestingMagazine,2,0.01,7275611466747707393,9825,ad_23000000000_3_13_1,FALSE,10.194,1280,720,News & Entertainment,Celebrities & Gossip,Conversions,Not Applicable,None,Static Image,Actors,Primarily Male,Unclear,Unclear
Click To See More.,Celebs News,2,0.01,7301667360063242242,6806,ad_23000000000_3_14_1,FALSE,8.708,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Lifestyle & Aspirational,Before-and-after story,Static Image,None,Primarily Male,Unclear,Engagement
Swipe Left To See More.,Celebs News,2,0.01,7309837118697193473,4879,ad_23000000000_3_15_1,FALSE,7.9,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Trend-Based & Reactive,Before-and-after story,Native Video,Actors,Primarily Female,Unclear,Engagement
Swipe Left To See More.,Celebs News,2,0.01,7298659378978111489,5133,ad_23000000000_3_16_1,FALSE,7.384,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Humor & Entertainment,Before-and-after story,Native Video,None,Primarily Older Adults,Unclear,Engagement
Click To See More.,Celebs News,2,0.01,7301667362546647041,9610,ad_23000000000_3_17_1,FALSE,8.708,1024,576,News & Entertainment,Celebrities & Gossip,Conversions,Testimonial & Social Proof,Before-and-after story,Static Image,None,Primarily Male,Product Aware,Engagement
Famous Women Who Retired With Millions,InvestingMagazine,1,0.01,7269682218398466049,1798,ad_23000000000_3_18_1,FALSE,13.329,1280,720,News & Entertainment,Celebrities & Gossip,Conversions,Lifestyle & Aspirational,None,Native Video,None,Primarily Female,Unclear,Engagement
This Story is Unbelievable,Life Indigo,1,0.01,7153159693267156993,3983,ad_23000000000_3_19_1,FALSE,20.502,1024,576,News & Entertainment,Lifestyle News,Conversions,Not Applicable,None,Native Video,Unclear,Unclear,Unclear,Unclear
Swipe Left - Find Chimney Repair Near You,Best&Cheapest Chimney Repair,2,0.01,7305738955160666114,4036,ad_11000000000_3_0_1,TRUE,7.477,960,540,Vehicle & Transportation,Auto Services,Conversions,Educational & Explainer,Behind-the-scenes,Native Video,None,No People Featured,Unclear,Awareness
Unsold Ebikes: See For Yourself,E-Bike,2,0.01,7310224734481367041,3265,ad_11000000000_3_1_1,TRUE,9.5,960,540,Vehicle & Transportation,Electric Scooters,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Unclear,Unclear,Solution Aware,Sales
Seamless Car Leasing for a Smooth Ride Ahead,Vehicle Rentals,2,0.01,7452540817024466960,2310,ad_11000000000_3_2_1,TRUE,14.513,1280,720,Vehicle & Transportation,Car Rentals,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Unclear,Unclear,Problem Aware,Sales
High Power E-Bikes Now at Ridiculous Prices!,Sports&Outdoor,2,0.01,7173277248907444226,30010,ad_11000000000_3_3_1,TRUE,14.745,1024,576,Vehicle & Transportation,Electric Scooters,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Unclear,Sales
"Ambient Lighting Under Your Feet - Buy 1 Mat, Get 1 Mat Free!",AuroraMats,2,0.01,7479819962175111175,33865,ad_11000000000_3_4_1,TRUE,8.367,1280,720,Vehicle & Transportation,Auto Accessories,Conversions,Lifestyle & Aspirational,Product demo,Native Video,Unclear,Unclear,Solution Aware,Sales
Huge Hack to Get a Pickup Truck at a Ridiculous Price,Truck Treasures,2,0.01,7297278837514207233,1743,ad_11000000000_3_5_1,TRUE,13.84,956,540,Vehicle & Transportation,Car Dealerships,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Problem Aware,Sales
2600W Electric Scooter!!,FRANKMOB,1,0.01,7231509711664824321,3565,ad_11000000000_3_6_1,TRUE,9.242,1024,576,Vehicle & Transportation,Electric Scooters,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Customers,Diverse Age Range,Unclear,Sales
Convenient option for energetic seniors' movement: Senior Scooters,Electric Scooters,2,0.01,7267084690845990914,2575,ad_11000000000_3_7_1,TRUE,15.371,1280,720,Vehicle & Transportation,Electric Scooters,Conversions,Promotional & Offer-Based,Product demo,Native Video,None,Unclear,Unclear,Sales
Watch until the end!,Fluidfreeride - Electric Scooters,2,0.01,7235997206305226753,9842,ad_11000000000_3_8_1,TRUE,28.258,1024,576,Vehicle & Transportation,Electric Scooters,Conversions,Testimonial & Social Proof,Day-in-the-life story,Native Video,Customers,Primarily Female,Solution Aware,Sales
Huge Hack to Get a Pickup Truck at a Ridiculous Price,Truck Treasures,2,0.01,7297281829756731393,4301,ad_11000000000_3_9_1,FALSE,13.834,960,540,Vehicle & Transportation,Car Dealerships,Conversions,Educational & Explainer,None,Native Video,None,No People Featured,Unclear,Awareness
"Ambient Lighting Under Your Feet - Buy 1 Mat, Get 1 Mat Free!",AuroraMats,1,0.01,7484641495242915858,12392,ad_11000000000_3_10_1,TRUE,8.467,1280,720,Vehicle & Transportation,Auto Accessories,Conversions,Product-Centric,Product demo,Native Video,Unclear,Unclear,Solution Aware,Sales
Click the button below to learn more!,Wow! Ebikes for Everyone,2,0.01,7309401445509660673,1720,ad_11000000000_3_11_1,TRUE,10.403,1024,576,Vehicle & Transportation,Electric Scooters,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Solution Aware,Sales
Follow the link and check out the offers.,Autohaus,2,0.01,7284656845805617153,5139,ad_11000000000_3_12_1,TRUE,10.3,1280,720,Vehicle & Transportation,Car Dealerships,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Solution Aware,Sales
Only now you can get a 50% discount!,Fleet dash camera,2,0.01,7244613211826274306,2727,ad_11000000000_3_13_1,TRUE,20.503,576,1024,Vehicle & Transportation,Auto Accessories,Conversions,Product-Centric,Product demo,Native Video,Actors,Diverse Gender Representation,Problem Aware,Sales
Private Jet Rentals - More Affordable Than You Think,Private Jets,2,0.01,7244945038638809090,4832,ad_11000000000_3_14_1,TRUE,16.508,1024,576,Vehicle & Transportation,Car Rentals,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Solution Aware,Sales
Unbeatable Prices on New SUVs! 2023 SUV Clearance Sale!,Massive Discounts on New SUVs,2,0.01,7218973644603817986,3979,ad_11000000000_3_15_1,TRUE,12.586,960,540,Vehicle & Transportation,Car Dealerships,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Problem Aware,Sales
NSQMQ” SALIOOO000ooo </3 — (En T0dAs LaS PLATaF0rMaS),jaywheeler,2,0.01,7479278592340131858,8853,ad_11000000000_3_16_1,TRUE,85.811,1024,576,Vehicle & Transportation,Auto Accessories,Conversions,Lifestyle & Aspirational,None,Native Video,Unclear,Primarily Male,Unclear,Awareness
Price drop to $29. 99.  Come and choose the luxury seat covers for you!,Customizable seat covers,2,0.01,7233725183275679745,2438,ad_11000000000_3_17_1,TRUE,13.512,960,540,Vehicle & Transportation,Auto Accessories,Conversions,Product-Centric,Before-and-after story,Native Video,None,No People Featured,Problem Aware,Sales
The best mobile phone holder for car navigation,Anthelper,2,0.01,7209659939894804481,9611,ad_11000000000_3_18_1,TRUE,21.734,1024,576,Vehicle & Transportation,Auto Accessories,Conversions,Product-Centric,Product demo,Native Video,None,Unclear,Problem Aware,Sales
Get an Ebike today!,EBIKES 2023,2,0.01,7171846854844907521,45735,ad_11000000000_3_19_1,TRUE,18.859,1280,720,Vehicle & Transportation,Electric Scooters,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Unclear,Unclear,Solution Aware,Sales
Find the best local massages,Local Massage Spots,1,0.01,7222695071228526594,3498,ad_26000000000_3_0_1,TRUE,15.067,960,540,Life Services,Beauty & Personal Care,Conversions,Not Applicable,None,Native Video,Unclear,Unclear,Unclear,Unclear
swipe left and see prices,flowoow,2,0.01,7321028898412576770,136530,ad_26000000000_3_1_1,TRUE,6.827,960,540,Life Services,Gifts & Flowers,Conversions,Product-Centric,Product demo,Native Video,Customers,Primarily Male,Solution Aware,Sales
Swipe Left for order or delivery!,Flower Delivery,2,0.01,7326676612446371841,29280,ad_26000000000_3_2_1,TRUE,6.802,1280,720,Life Services,Gifts & Flowers,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Customers,Unclear,Solution Aware,Sales
Click on the button and choose what you need!,Super massage,2,0.01,7230920861899882497,2686,ad_26000000000_3_3_1,TRUE,24,1024,576,Life Services,Beauty & Personal Care,Conversions,Humor & Entertainment,None,Native Video,Actors,Primarily Female,Unclear,Engagement
Happiness loves flowers!,FlowerDelivery,2,0.01,7322060246381494273,63857,ad_26000000000_3_4_1,TRUE,6.827,960,540,Life Services,Gifts & Flowers,Conversions,Product-Centric,None,Native Video,Customers,Unclear,Unclear,Sales
Find a great massage!,Local Massage Spots,2,0.01,7227096274281316354,29184,ad_26000000000_3_5_1,TRUE,16,1024,576,Life Services,Beauty & Personal Care,Conversions,Promotional & Offer-Based,None,Native Video,Unclear,Primarily Female,Unclear,Traffic
Check it out now!!,Services For You,2,0.01,7284249674957193218,7785,ad_26000000000_3_6_1,TRUE,8.01,1024,576,Life Services,Housekeeping,Conversions,Product-Centric,Product demo,Native Video,Actors,Primarily Female,Problem Aware,Sales
Did you know that migraine can be treated naturaly with this?,Migraine Treatment,1,0.01,7301303527452082177,2654,ad_26000000000_3_7_1,TRUE,7.872,960,540,Life Services,Beauty & Personal Care,Conversions,Promotional & Offer-Based,None,Native Video,Unclear,Primarily Female,Unclear,Traffic
Join our community now and get 58USDT for free Newbie Trading Fund!,Top5coins cryptonews,1,0.01,7485292941113540624,3170,ad_26000000000_3_8_1,FALSE,20.248,1280,720,Life Services,Wedding Celebrations,Conversions,Educational & Explainer,None,Native Video,Unclear,Diverse Age Range,Problem Aware,Awareness
Check it out now!!,Services For You,2,0.01,7284265900377800705,34618,ad_26000000000_3_9_1,TRUE,9.682,1024,576,Life Services,Housekeeping,Conversions,Product-Centric,Product demo,Native Video,Unclear,Primarily Female,Problem Aware,Sales
"Hello, if you're free next week, you can have coffee",Dailin,1,0.01,7485013273235980296,3000,ad_26000000000_3_10_1,TRUE,11.959,1024,576,Life Services,Dating & Matchmaking Services,Conversions,Lifestyle & Aspirational,None,Native Video,Unclear,Primarily Female,Unclear,Unclear
Find the best local massages,Local Massage Spots,2,0.01,7216408901054726146,7085,ad_26000000000_3_11_1,TRUE,8.3,1024,576,Life Services,Beauty & Personal Care,Conversions,Not Applicable,None,Native Video,Unclear,Primarily Asian,Unclear,Unclear
Join our community now and get 58USDT for free Newbie Trading Fund!,Top5coins cryptonews,1,0.01,7485309948654764039,1710,ad_26000000000_3_12_1,TRUE,27.354,1280,720,Life Services,Wedding Celebrations,Conversions,Lifestyle & Aspirational,None,Native Video,Unclear,Diverse Age Range,Unclear,Awareness
Wellness and relaxation,Wellness,1,0.01,7283126573939408897,2370,ad_26000000000_3_13_1,TRUE,13.462,1024,576,Life Services,Beauty & Personal Care,Conversions,Promotional & Offer-Based,None,Native Video,Unclear,Diverse Gender Representation,Problem Aware,Leads
Relax and Unwind with These Asian Massage Services,Asian Massage,2,0.01,7242321987276161026,10567,ad_26000000000_3_14_1,TRUE,11.378,960,540,Life Services,Beauty & Personal Care,Conversions,Promotional & Offer-Based,None,Native Video,Customers,Diverse Gender Representation,Problem Aware,Sales
Find the best local massages,Local Massage Spots,1,0.01,7216409580364447746,2844,ad_26000000000_3_15_1,TRUE,8.011,1024,576,Life Services,Beauty & Personal Care,Conversions,Promotional & Offer-Based,None,Native Video,Unclear,Unclear,Solution Aware,Traffic
Tap here and search for the perfect massage,Massage 🤩,2,0.01,7282289938618843138,2854,ad_26000000000_3_16_1,TRUE,10.31,1024,576,Life Services,Beauty & Personal Care,Conversions,Promotional & Offer-Based,None,Native Video,Unclear,Diverse Gender Representation,Problem Aware,Traffic
Find the best local massages,Be.Healthy,1,0.01,7233762827738611713,4030,ad_26000000000_3_17_1,FALSE,11.518,1024,576,Life Services,Beauty & Personal Care,Conversions,Product-Centric,Product demo,Native Video,Unclear,Primarily Female,Unclear,Sales
Roofing Service nearvy,Roofing Services,2,0.01,7304291671377297410,6686,ad_26000000000_3_18_1,TRUE,7.057,960,540,Life Services,Housekeeping,Conversions,Educational & Explainer,Behind-the-scenes,Native Video,Experts,Unclear,Problem Aware,Awareness
"Full body spoiling massages near your location, see now ",Relaxing Massages Near You,2,0.01,7273464767066603521,9393,ad_26000000000_3_19_1,TRUE,11.936,1280,720,Life Services,Beauty & Personal Care,Conversions,Promotional & Offer-Based,None,Native Video,Customers,Diverse Gender Representation,Solution Aware,Sales
Experience powerful performance with maximum styling versatility.,Conair,2,0.01,7284003988122599425,5764,ad_16000000000_3_0_1,FALSE,20.075,1024,576,Appliances,Personal Care Appliances,Conversions,Product-Centric,Product demo,Native Video,Unclear,Diverse Ethnic Representation,Solution Aware,Sales
Get 15% off on Volcano Diffusers!,,1,0.01,7206187561650257922,2230,ad_16000000000_3_1_1,TRUE,8.477,1024,576,Appliances,Home Appliances,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Solution Aware,Sales
Unsold TVs in 2022 at a Shocking Prices!,Unsold Smart TVs,2,0.01,7171837123124281345,6269,ad_16000000000_3_2_1,TRUE,11.309,1024,576,Appliances,Large Appliances,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Unclear,Unclear,Problem Aware,Sales
Anyone can take it!,Magic E-Commerce,1,0.01,7311641099705221122,11073,ad_16000000000_3_3_1,TRUE,12,960,540,Appliances,Digital Devices,Conversions,Product-Centric,Product demo,Native Video,None,No People Featured,Unclear,Awareness
Don't miss these fridge deals. Swipe left!,Fridges & Freezers Deals,2,0.01,7244444240389160961,3563,ad_16000000000_3_4_1,TRUE,16.371,1026,576,Appliances,Home Appliances,Conversions,Educational & Explainer,None,Native Video,None,Unclear,Solution Aware,Awareness
Remove TOXINS From Your Drinking Water NOW!! For A Limited Time SAVE $50 & get FREE SHIPPING!,thewatermachine,2,0.01,7254995013603033089,4724,ad_16000000000_3_5_1,TRUE,15.167,1024,576,Appliances,Home Appliances,Conversions,Product-Centric,None,Native Video,None,Unclear,Unclear,Awareness
Don't miss these fridge deals. Swipe left!,Fridges & Freezers Deals,2,0.01,7251549658132692994,5340,ad_16000000000_3_6_1,TRUE,18.809,1024,576,Appliances,Home Appliances,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,None,No People Featured,Solution Aware,Sales
Ductless air conditioners are Easier to install! Find Yours Now!,Cooling Experts,2,0.01,7253090135805018113,2506,ad_16000000000_3_7_1,TRUE,18.902,1024,576,Appliances,Home Appliances,Conversions,Product-Centric,Unboxing,Native Video,Customers,Primarily Female,Problem Aware,Sales
Unsold Smart TVs,SarahLee,2,0.01,7223647614116528129,3452,ad_16000000000_3_8_1,TRUE,16.51,1280,720,Appliances,Large Appliances,Conversions,Promotional & Offer-Based,Limited-time offer,Native Video,Unclear,Unclear,Solution Aware,Sales
Get 50% OFF + Free Shipping,Portable Clothes Dryer,2,0.01,7340618631641546753,2974,ad_16000000000_3_9_1,TRUE,30.629,1024,576,Appliances,Home Appliances,Conversions,Product-Centric,Product demo,Native Video,Unclear,Primarily Female,Problem Aware,Sales
